ga:dimension1,ga:dimension16,ga:dimension17,ga:dimension18,ga:dimension20,ga:dimension2,ga:dimension19
"1874774","Industry Focus",25,"Report","",23-JAN-15,""
"1874790","Industry Focus Japanese",14,"Report","",24-JAN-15,""
"1874037","Company Focus",25,"Report","",13-JAN-15,""
"1874791","Industry Focus",10,"Report","",24-JAN-15,""
